IPAddress,Parameter,Periodicity,RFValue,Thresholdvalue,ClientName
10.254.208.5,InterfaceInUtilization(gigabitethernet27),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet3),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet8),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(Logical-int 1),60,3,90,ATMSL
10.254.208.5,InterfaceOperStatus(gigabitethernet12),60,3,DOWN,ATMSL
10.254.208.5,InterfaceOperStatus(gigabitethernet14),60,3,DOWN,ATMSL
10.254.208.5,InterfaceOperStatus(gigabitethernet20),60,3,DOWN,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet19),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet20),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet27),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet3),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet8),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(Logical-int 1),120,3,100,ATMSL
10.254.208.5,InterfaceInDiscardsRate(1),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(1),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(1),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(1),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet14),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet16),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet20),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet22),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet3),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet5),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(1),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(1),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(1),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(1),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet1),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet14),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet16),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet22),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet24),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet5),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet7),180,3,10,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet11),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet13),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet2),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet21),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet26),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet28),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet9),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(tunnel1),60,3,90,ATMSL
10.254.208.5,InterfaceOperStatus(gigabitethernet13),60,3,DOWN,ATMSL
10.254.208.5,InterfaceOperStatus(gigabitethernet15),60,3,DOWN,ATMSL
10.254.208.5,InterfaceOperStatus(gigabitethernet2),60,3,DOWN,ATMSL
10.254.208.5,InterfaceOperStatus(gigabitethernet21),60,3,DOWN,ATMSL
10.254.208.5,InterfaceOperStatus(gigabitethernet28),60,3,DOWN,ATMSL
10.254.208.5,InterfaceOperStatus(gigabitethernet4),60,3,DOWN,ATMSL
10.254.208.5,InterfaceOperStatus(tunnel1),60,3,DOWN,ATMSL
10.254.208.5,InterfaceOutDiscardsRate(500),180,3,10,ATMSL
10.254.208.5,InterfaceOutDiscardsRate(gigabitethernet15),180,3,10,ATMSL
10.254.208.5,InterfaceOutDiscardsRate(gigabitethernet17),180,3,10,ATMSL
10.254.208.5,InterfaceOutDiscardsRate(gigabitethernet23),180,3,10,ATMSL
10.254.208.5,InterfaceOutDiscardsRate(gigabitethernet25),180,3,10,ATMSL
10.254.208.5,InterfaceOutDiscardsRate(gigabitethernet4),180,3,10,ATMSL
10.254.208.5,InterfaceOutDiscardsRate(gigabitethernet6),180,3,10,ATMSL
10.254.208.5,InterfaceOutErrorsRate(500),180,3,10,ATMSL
10.254.208.5,InterfaceOutErrorsRate(gigabitethernet10),180,3,10,ATMSL
